레시피 코드,재료명,재료용량
195453,계란,5개
195453,전분,1/2T
195453,부침가루,1/2T
195453,소금,2t
195453,후추,1/2t
195453,참기름,1T
195453,밀가루,2CUP
195453,배추,2잎
195453,호박,1/2개
195453,대파,1대
195453,다짐육,200g
195453,콩비지,300g
195453,다진마늘,1T
195428,통깨,0.5T
195428,마요네즈,1T
195428,설탕,0.5T
195428,식초,0.5T
195428,두부,2.5T
195428,소금,약간
195428,참기름,약간
195428,통깨,약간
195428,김밥용김,2장
195428,어린잎채소,약간
195428,가지,1/2개
195428,당근,1/2개
195428,밥,3공기
195428,오이,1/2개
180363,설탕,1+1/2T
180363,통깨,약간
180363,식초,2T
180363,고추장,2T
180363,소금,약간
180363,쪽파,15대
180363,중새우,15마리
180344,양파,1/8개
180344,방울토마토,15알
180344,밥,1공기
180344,물,280ml
180344,셀러리,1대
180344,후추,약간
180344,햄,50g
180344,달걀,2개
180344,카레가루,3T
180330,식빵,5쪽
180330,마요네즈,1T
180330,꿀,1/2T
180330,달걀노른자,1개
180330,우유,1cup
180330,고구마,2개(大)
180330,소금,약간
180330,건블루베리,1/2T
120476,후추,약간
120476,다진마늘,1/2T
120476,들기름,1T
120476,통깨,약간
120476,소금,3t
120476,버섯,4개
120476,두부,1/2모
120476,당면,한줌
120476,당근,1/6개
120476,다짐육 소고기,100g
120476,다짐육(돼지고기),100g
120476,다진생강,2t
120476,간장,1T
120476,달걀,1개
120476,미나리,10줄기
120476,배추,10장
120463,부침가루,6T
120463,양파,1/3개
120463,감자,2개
120463,당근채,약간
120463,당근잎,약간
120463,소금,약간
120441,고춧가루,2T
120441,들기름,1T
120441,설탕,1/2T
120441,다진마늘,2T
120441,무,1/3개
120441,양파,1/2개
120441,단호박,1개
120441,간장,1T
120441,된장,1T
120441,고추장,1T
120441,쌀뜨물,4컵
120441,고등어,2마리
120441,청양고추,2개
120441,홍고추,1개
120419,매실액,3T
120419,통깨,약간
120419,참기름,2T
120419,고추,1개
120419,라이스페이퍼,10장
120419,연어살,200g
120419,무채,50g
120419,고사리,50g
120419,도라지,50g
120419,콩나물,50g
120419,시금치,50g
120401,애호박,1개
120401,어린잎채소,100g
120401,식용유,약간
120401,간장,2T
120401,맛술,2T
120401,통깨,약간
120401,다진마늘,0.5T
120401,식초,0.5T
120401,청양고추,1개
120401,대파,1/2대
120401,참기름,약간
120401,올리브유,1T
120379,양파,1/2개
120379,단무지,50g
120379,아몬드,16알
120379,견과류,약간
120379,마요네즈,1T
120379,꿀,1T
120379,허브솔트,약간
120379,소금,2t
120379,허니머스타드,0.5T
120379,식초,1T
120379,황설탕,0.5T
120379,백오이,2개
120379,참치캔,1캔(100g)
120379,삶은계란,1개
120360,아몬드,2알
120360,다진고추,1T
120360,매실액,1T
120360,굴소스,2T
120360,쪽파,약간
120360,에멘탈 치즈가루,1컵
120360,두부,1/2모
120360,가지,1개
120360,굴소스,1T
120344,설탕,1T
120344,통깨,1/2T
120344,다진마늘,1T
120344,고춧가루,1T
120344,간장,1/2T
120344,까나리액젓,1T
120344,쪽파,1/2대
120344,깻잎,30장
120344,홍고추,1개
91023,설탕,1컵
91023,물,1컵
91023,간장,1.5컵
91023,식초,1컵
91023,고추,180g (약2줌)
91010,탄산수,700ml
91010,얼음,20큐브
91010,설탕,1T
91010,허브,한줌
91010,라임,2개
90997,슬라이스치즈,3장
90997,마요네즈,4T
90997,슬라이스햄,3장
90997,모닝빵,6개
90997,토마토,2개
90997,어린잎채소,2줌
90997,허니머스타드,2T
90980,설탕,1t
90980,통깨,조금
90980,식초,3T
90980,된장,1t
90980,고춧가루,2.5T
90980,대파,1/2대
90980,청고추,1개
90980,홍고추,1개
90980,양파,1/2개
90980,둥근호박,1/3개
90960,통깨,조금
90960,양파,조금
90960,쪽파,2대
90960,다진마늘,1T
90960,풋고추,1개
90960,소금,조금
90960,쌈장,1T
90960,밥,2인분
90960,호박잎,20장
90960,가지,1개
90960,간장,2T
90941,와사비,약간
90941,후추,약간
90941,설탕,1.5T
90941,식초,1.5T
90941,고추장,3T
90941,오징어,2마리
90941,양파,1개
90941,고추,4개
90941,당근,반개
90941,오이,1개
90941,쑥갓,약간
90941,치커리,약간
90941,상추,약간
90920,가지,2개
90920,올리브오일,약간
90920,후추,약간
90920,소금,약간
90920,파마산치즈가루,2T
90920,양파,1/2개
90920,토마토소스,200g
90920,파슬리가루,약간
90920,피자치즈,1컵
90920,다진마늘,1/2T
90920,우유,4T
90904,가지,2개
90904,양파,1/2개
90904,홍고추,1개
90904,청고추,1게
90904,대파,1/2단
90904,다진마늘,1T
90904,고춧가루,2T
90904,들기름,1/2T
90904,간장,1T
90904,소금,약간
90904,후추,약간
90894,소금,약간
90894,고구마잎,100g
90894,다진마늘,1/2T
90894,다진대파,1T
90894,깨소금,1t
90894,참기름,1t
90881,후추,약간
90881,허니머스타드,1T
90881,소금,약간
90881,마요네즈,1T
90881,노각,1/2개
90881,닭가슴살,2쪽
90881,호박,1개
90868,다진마늘,1T
90868,방울토마토,6개
90868,미니새송이버섯,400g
90868,다진쪽파,약간
90868,바질,약간
90868,소금,1/4t
90868,올리브유,약간
90846,소금,2T
90846,물,10컵
90846,파뿌리,3개
90846,양파,1/2개
90846,밥,1T
90846,무,작은토막 1개
90846,깐밤,3개
90846,소금,1T
90846,오이,4개
90846,파프리카,1/4개
90846,파프리카,1/4개
90846,생강,1개
90834,고춧가루,1T
90834,멸치액젓,1T
90834,매실액,1T
90834,다진마늘,1t
90834,돛나물,20g
90834,부추,20g
90834,오이,2개
90834,양파,소1/2
90818,소금,조금
90818,사과,20g
90818,가지,1개
90818,소고기,100g
90818,무순,20g
90818,당근,20g
90818,버섯,20g
90818,버터,조금
90799,바질,50g
90799,잣,1T
90799,다진마늘,1/2T
90799,올리브오일,4T
90799,파마산치즈가루,1T
153,식용유,약간씩
153,소금,약간씩
153,참기름,약간씩
153,잣가루,약간씩
536,후추,약간씩
90799,후추,약간
90799,후추,약간
90799,소금,약간
90799,다진마늘,1T
90799,화이트와인,1/2T
90799,새우,12마리
90799,스파게티면,200g
90799,소금,약간
90799,올리브오일,1T
73712,찹쌀가루,1T
73712,밀가루,200g
73712,들깨가루,1컵
73712,올리브유,1T
73712,소금,1.5t
73712,물,6컵
73712,육수용 무,1토막
73712,국물용 다시마,5*5cm 3조각
73712,국물용멸치,15마리
73712,육수용 대파,1/2개
73712,시금치,3뿌리
73699,모짜렐라치즈,100g
73699,슬라이스치즈,1장
73699,전분,조금
73699,옥수수,조금
73699,무지개고추,1개
73699,파프리카,1/3개
73699,단호박,작은거1개
73679,낙지,1마리
73679,절인 배추,1통
73679,고춧가루,1컵
73679,감동젓,100g
73679,다진마늘,1/2큰술
73679,다진생각,1작은술
73679,설탕,2큰술
73679,소금,2큰술
73679,생굴,1/2컵
73679,실파,100g
73679,미나리,100g
73679,밤,7개
73679,배,1개
73679,무,1개
73679,북어,1마리
62330,절인 배추,1포기
62330,생강,1톨
62330,잣,1/2큰술
62330,대추,4개
62330,생굴,100g
62330,낙지다리,100g
62330,밤,4개
62330,배,1/2개
62330,미나리,50g
62330,실파,30g
62330,갓,80g
62330,소금,1큰술
62330,새우젓,1/2컵
62330,고춧가루,1컵
62330,마늘,6쪽
62330,무,200g
39692,돼지갈비,1.2kg
39692,시래기,200g
39692,후추,약간
39692,소금,1작은술
39692,다진생강,1작은술
39692,다진마늘,1큰술
39692,다진양파,2큰술
39692,다진대파,3큰술
39692,사과즙,3큰술
39692,배즙,2큰술
39692,청주,3큰술
39692,간장,3큰술
39692,멸치다시마육수,2컵
39692,고춧가루,5큰술
39692,고추장,5큰술
39665,양파,1/4개
39665,대파,1대
39665,참쌀,1컵(170g)
39665,인삼,1뿌리
39665,땅콩,20알
39665,소금,약간
39665,닭,1마리
39665,잣,3~5알
39665,통후추,5알
39665,대추,3개
39665,검은깨,1/2컵(55g)
5836,쇠고기안심,300g
5836,소금,1/2큰술
5836,양파,1개
5836,감자,1개
5836,당근,1/2개
5836,피망,1/2개
